Using device: cuda
Loading models...
✓ All models loaded successfully
Starting metrics calculation for realistic prompt...
  Processing category: bottle
    ✔️ bbox rep0: RCNN=0.996, YOLO=0.914
    ✔️ bbox rep5: RCNN=0.984, YOLO=0.896
    ✔️ segmentation rep0: RCNN=0.991, YOLO=0.887
    ✔️ segmentation rep5: RCNN=0.961, YOLO=0.875
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.082, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.898, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.094, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.139, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.336, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.186, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.260, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.971, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.292, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.932, YOLO=0.597
    ✔️ segmentation rep5: RCNN=0.939, YOLO=0.701
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.066, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.989, YOLO=0.662
    ✔️ segmentation rep5: RCNN=0.998, YOLO=0.330
    ✔️ bbox rep0: RCNN=0.985, YOLO=0.845
    ✔️ bbox rep5: RCNN=0.936, YOLO=0.740
    ✔️ segmentation rep0: RCNN=0.921, YOLO=0.405
    ✔️ segmentation rep5: RCNN=0.881, YOLO=0.563
    ✔️ bbox rep0: RCNN=0.995, YOLO=0.910
    ✔️ bbox rep5: RCNN=0.993, YOLO=0.955
    ✔️ segmentation rep0: RCNN=0.993, YOLO=0.916
    ✔️ segmentation rep5: RCNN=0.998, YOLO=0.906
    ✔️ bbox rep0: RCNN=0.384, YOLO=0.567
    ✔️ bbox rep5: RCNN=0.653, YOLO=0.535
    ✔️ segmentation rep0: RCNN=0.731, YOLO=0.659
    ✔️ segmentation rep5: RCNN=0.646, YOLO=0.829
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.000, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.229, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.000, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.856, YOLO=0.000
    ✔️ bbox rep5: RCNN=0.753, YOLO=0.000
    ✔️ segmentation rep0: RCNN=0.866, YOLO=0.000
    ✔️ segmentation rep5: RCNN=0.800, YOLO=0.000
    ✔️ bbox rep0: RCNN=0.000, YOLO=0.000
